"id_keyb","key_name","position","event","input","timestamp","epoch"
"17658","9","Numpad9","keydown","1","2024-01-29 16:15:11:000434","1706555711434"
"17659","1","Numpad1","keyup","1","2024-01-29 16:15:11:000490","1706555711490"
"17660","9","Numpad9","keyup","1","2024-01-29 16:15:11:000562","1706555711562"
"17661","8","Numpad8","keydown","1","2024-01-29 16:15:12:000314","1706555712314"
"17662","1","Numpad1","keydown","1","2024-01-29 16:15:12:000434","1706555712434"
"17663","8","Numpad8","keyup","1","2024-01-29 16:15:12:000466","1706555712466"
"17664","1","Numpad1","keyup","1","2024-01-29 16:15:12:000555","1706555712555"
"17665","8","Numpad8","keydown","1","2024-01-29 16:15:12:000858","1706555712858"
"17666","7","Numpad7","keydown","1","2024-01-29 16:15:13:000010","1706555713010"
"17667","8","Numpad8","keyup","1","2024-01-29 16:15:13:000065","1706555713065"
"17668","7","Numpad7","keyup","1","2024-01-29 16:15:13:000131","1706555713131"
"17669","1","Numpad1","keydown","1","2024-01-29 16:15:13:000731","1706555713731"
"17670","2","Numpad2","keydown","1","2024-01-29 16:15:13:000778","1706555713778"
"17671","1","Numpad1","keyup","1","2024-01-29 16:15:13:000913","1706555713913"
"17672","2","Numpad2","keyup","1","2024-01-29 16:15:13:000946","1706555713946"
"17673","9","Numpad9","keydown","1","2024-01-29 16:15:15:000065","1706555715065"
"17674","9","Numpad9","keyup","1","2024-01-29 16:15:15:000202","1706555715202"
"17675","6","Numpad6","keydown","1","2024-01-29 16:15:15:000394","1706555715394"
"17676","6","Numpad6","keyup","1","2024-01-29 16:15:15:000530","1706555715530"
"17677","1","Numpad1","keydown","1","2024-01-29 16:15:15:000978","1706555715978"
